SEX,AGE,REGION,CITY_SIZE,N_W_Q1,# T_Q1,N_W_Q2,#T_Q2,#T_TRUSTED,N_W_Q3,#T_Q3,#T_UNTRUSTED,N_W_Q4,#T_Q4,N_W_Q5,#T_Q5,N_W_Q6,#T_Q6,JOB,EDU_LV,COMPL_TIME_SEC,User_Experience_Rating,Total_Words_per_Respondent,Total_Themes_per_Respondent,Completion Mode,Transcripts Comparison Result,Transcript Classification Result
Un maschio,29,Calabria,Da 30.001 a 100.000,5,1,3,1,1,4,1,0,5,1,4,1,5,1,Impiegato,Laurea/post laurea,234,9,28,7,Typeform,worst,gibberish
Un maschio,30,Lazio,Da 30.001 a 100.000,1,1,7,1,1,5,1,1,2,1,5,1,4,1,Impiegato,Laurea/post laurea,132,9,24,8,Typeform,better,not gibberish
Un maschio,56,Lombardia,Oltre 500.001,3,1,3,1,0,3,1,1,6,1,4,1,10,1,Imprenditore/libero professionista,Scuole superiori/Diploma,193,6,29,7,Typeform,worst,gibberish
Un maschio,38,Liguria,Oltre 500.001,1,1,2,1,1,3,1,1,3,0,7,1,6,1,Operaio,Scuole superiori/Diploma,182,9,22,7,Typeform,worst,not gibberish
Un maschio,51,Piemonte,Oltre 500.001,4,1,5,1,0,4,0,0,6,1,9,2,5,1,Imprenditore/libero professionista,,301,8,33,6,Typeform,worst,not gibberish
Una femmina,23,Molise,Fino a 10.000,12,3,10,2,,3,0,0,3,0,7,1,7,1,Non occupato/in cerca di occupazione,Scuole superiori/Diploma,177,0,42,7,Typeform,worst,gibberish
Una femmina,20,Piemonte,Fino a 10.000,4,1,7,1,1,4,1,1,7,1,5,1,5,1,Artigiano/commerciante,Scuole superiori/Diploma,189,10,32,8,Typeform,worst,gibberish
Una femmina,40,Sicilia,Da 10.001 a 30.000,1,1,1,0,0,1,1,0,2,1,2,0,2,0,Casalinga,Scuole superiori/Diploma,235,6,9,3,Typeform,worst,not gibberish
Un maschio,60,Campania,Oltre 500.001,6,1,8,1,1,11,2,0,7,1,13,2,7,0,Pensionato,Scuole superiori/Diploma,426,9,52,8,Typeform,worst,not gibberish
Una femmina,35,Lombardia,Da 30.001 a 100.000,5,1,7,2,1,8,2,1,6,1,7,0,9,2,Impiegato,Scuole superiori/Diploma,125,10,42,10,Typeform,worst,gibberish
Un maschio,25,Sicilia,Fino a 10.000,1,1,3,1,1,2,1,1,3,1,2,1,3,1,Impiegato,Laurea/post laurea,836,9,14,8,Typeform,worst,not gibberish
Una femmina,50,Puglia,Da 30.001 a 100.000,15,3,11,1,1,5,1,0,7,0,8,1,7,1,Impiegato,Laurea/post laurea,215,5,53,8,Typeform,worst,not gibberish
Un maschio,47,Veneto,Da 30.001 a 100.000,3,1,6,1,1,4,1,0,3,0,3,1,2,1,Dirigente/Quadro,Laurea/post laurea,170,10,21,6,Typeform,worst,not gibberish
Una femmina,18,Lazio,Fino a 10.000,13,2,5,1,,2,0,0,1,0,5,1,2,1,Impiegato,Scuole medie,107,10,28,5,Typeform,worst,gibberish
Un maschio,54,Lombardia,Da 10.001 a 30.000,6,1,4,1,1,4,2,0,3,0,4,2,2,1,Imprenditore/libero professionista,Scuole superiori/Diploma,174,10,23,8,Typeform,worst,gibberish
Un maschio,60,Liguria,Da 10.001 a 30.000,6,2,1,0,1,4,1,1,2,1,1,0,4,1,Pensionato,,218,4,18,7,Typeform,better,not gibberish
Un maschio,56,Lombardia,Oltre 500.001,3,1,3,1,0,3,1,1,6,1,4,1,10,1,Imprenditore/libero professionista,Scuole superiori/Diploma,193,6,29,7,Typeform,better,gibberish
Un maschio,49,Lazio,Fino a 10.000,7,2,9,2,1,12,2,1,11,2,16,2,8,1,Impiegato,Scuole superiori/Diploma,276,10,63,13,Typeform,worst,gibberish
Una femmina,54,Lazio,Oltre 500.001,6,1,10,2,1,5,2,0,2,0,6,1,6,1,Casalinga,Scuole superiori/Diploma,226,7,35,8,Typeform,worst,not gibberish
Un maschio,54,Lombardia,Da 10.001 a 30.000,6,1,4,1,1,4,2,0,3,0,4,2,2,1,Imprenditore/libero professionista,Scuole superiori/Diploma,174,10,23,8,Typeform,better,gibberish
Un maschio,29,Campania,Da 30.001 a 100.000,3,1,1,0,1,3,1,1,1,1,4,0,1,1,Impiegato,Scuole superiori/Diploma,112,9,13,6,Typeform,worst,not gibberish
Una femmina,44,Toscana,Oltre 500.001,8,1,10,1,1,7,1,0,2,0,12,2,5,1,Impiegato,Laurea/post laurea,208,7,44,7,Typeform,worst,gibberish
Una femmina,35,Lombardia,Da 30.001 a 100.000,5,1,7,2,1,8,2,1,6,1,7,0,9,2,Impiegato,Scuole superiori/Diploma,125,10,42,10,Typeform,worst,gibberish
Un maschio,57,Piemonte,Da 10.001 a 30.000,6,2,5,1,1,8,2,1,4,1,13,1,2,1,Impiegato,Scuole superiori/Diploma,651,9,38,10,Typeform,worst,not gibberish
Una femmina,40,Sicilia,Da 10.001 a 30.000,1,1,1,0,0,1,1,0,2,1,2,0,2,0,Casalinga,Scuole superiori/Diploma,235,6,9,3,Typeform,worst,gibberish
Un maschio,42,Emilia-Romagna,Da 100.001 a 500.000,17,3,22,3,0,12,3,1,9,1,4,1,9,1,Non occupato/in cerca di occupazione,,377,6,73,13,Typeform,worst,gibberish
Un maschio,63,Puglia,Fino a 10.000,11,1,1,0,0,5,1,0,4,0,5,1,5,1,Pensionato,Scuole medie,160,10,31,4,Typeform,worst,gibberish
Una femmina,24,Lazio,Da 30.001 a 100.000,8,1,5,0,1,5,1,1,3,0,3,1,2,1,Impiegato,Laurea/post laurea,157,9,26,6,Typeform,worst,gibberish
Un maschio,32,Lazio,Oltre 500.001,1,0,1,0,0,1,0,0,1,0,1,0,1,0,Studente,Scuole medie,63,10,6,0,Typeform,worst,gibberish
Un maschio,69,Puglia,Da 100.001 a 500.000,9,3,5,1,0,7,0,0,1,0,4,1,6,1,Pensionato,Laurea/post laurea,375,2,32,6,Typeform,better,gibberish
Un maschio,19,Sicilia,Da 100.001 a 500.000,6,1,1,0,1,5,1,1,4,1,5,1,6,1,Studente,Scuole superiori/Diploma,177,7,27,7,Typeform,worst,not gibberish
Un maschio,63,Puglia,Fino a 10.000,11,1,1,0,0,5,1,0,4,0,5,1,5,1,Pensionato,Scuole medie,160,10,31,4,Typeform,better,gibberish
Un maschio,77,Lombardia,Fino a 10.000,10,2,9,2,0,6,0,0,7,1,5,1,1,0,Pensionato,Laurea/post laurea,543,2,38,6,Typeform,worst,gibberish
Un maschio,65,Toscana,Da 30.001 a 100.000,3,1,1,1,1,1,1,1,1,1,3,1,1,1,Pensionato,Scuole superiori/Diploma,134,0,10,8,Typeform,better,gibberish
Un maschio,41,Liguria,Da 30.001 a 100.000,2,0,1,1,1,1,1,1,1,1,1,0,1,0,Impiegato,Laurea/post laurea,84,9,7,5,Typeform,worst,not gibberish
Un maschio,51,Piemonte,Oltre 500.001,4,1,5,1,0,4,0,0,6,1,9,2,5,1,Imprenditore/libero professionista,,301,8,33,6,Typeform,worst,gibberish
Un maschio,60,Campania,Oltre 500.001,6,1,8,1,1,11,2,0,7,1,13,2,7,0,Pensionato,Scuole superiori/Diploma,426,9,52,8,Typeform,worst,gibberish
Una femmina,34,Sicilia,Da 10.001 a 30.000,15,2,5,1,1,7,1,1,6,1,5,1,4,1,Dirigente/Quadro,Laurea/post laurea,197,10,42,9,Typeform,worst,gibberish
Un maschio,77,Lombardia,Fino a 10.000,10,2,9,2,0,6,0,0,7,1,5,1,1,0,Pensionato,Laurea/post laurea,543,2,38,6,Typeform,better,gibberish
Una femmina,46,Lombardia,Da 10.001 a 30.000,4,1,10,2,1,6,1,1,6,2,4,1,4,1,Impiegato,Laurea/post laurea,247,10,34,10,Typeform,worst,not gibberish
Una femmina,54,Piemonte,Da 30.001 a 100.000,10,1,2,1,1,2,1,1,2,1,3,1,3,1,Impiegato,Laurea/post laurea,141,5,22,8,Typeform,worst,gibberish
Un maschio,60,Sicilia,Oltre 500.001,5,1,5,1,0,6,0,0,3,0,7,1,8,1,Impiegato,Scuole superiori/Diploma,300,8,34,4,Typeform,better,gibberish
Un maschio,41,Trentino-Alto Adige,Fino a 10.000,3,2,2,1,1,3,1,1,3,1,4,2,2,0,Operaio,Scuole superiori/Diploma,159,10,17,9,Typeform,better,gibberish
Un maschio,27,Puglia,Da 30.001 a 100.000,14,2,8,1,1,14,2,0,1,0,3,1,3,1,Non occupato/in cerca di occupazione,Scuole superiori/Diploma,384,6,43,8,Typeform,worst,not gibberish
Una femmina,77,Trentino-Alto Adige,Da 30.001 a 100.000,3,2,3,2,1,7,2,0,6,0,7,1,11,1,Pensionato,Laurea/post laurea,205,8,37,9,Typeform,better,gibberish
Un maschio,42,Emilia-Romagna,Da 100.001 a 500.000,17,3,22,3,0,12,3,1,9,1,4,1,9,1,Non occupato/in cerca di occupazione,,377,6,73,13,Typeform,worst,gibberish
Un maschio,29,Calabria,Da 30.001 a 100.000,5,1,3,1,1,4,1,0,5,1,4,1,5,1,Impiegato,Laurea/post laurea,234,9,28,7,Typeform,better,not gibberish
Una femmina,34,Lombardia,Fino a 10.000,3,1,1,1,1,1,1,0,1,0,1,1,1,1,Imprenditore/libero professionista,Laurea/post laurea,169,6,8,6,Typeform,better,not gibberish
Una femmina,45,Emilia-Romagna,Da 100.001 a 500.000,5,1,3,1,0,5,1,1,5,1,6,1,6,1,Impiegato,Scuole superiori/Diploma,1362,7,30,7,Typeform,worst,not gibberish
Una femmina,36,Lazio,Oltre 500.001,4,1,1,0,1,5,1,1,5,0,4,1,2,1,Impiegato,Laurea/post laurea,132,8,21,6,Typeform,better,gibberish
Una femmina,23,Molise,Fino a 10.000,12,3,10,2,,3,0,0,3,0,7,1,7,1,Non occupato/in cerca di occupazione,Scuole superiori/Diploma,177,0,42,7,Typeform,worst,gibberish
Un maschio,54,Lazio,Oltre 500.001,1,1,1,0,1,3,1,1,1,1,2,0,2,1,Operaio,Scuole superiori/Diploma,171,9,10,6,Typeform,better,gibberish
Un maschio,50,Trentino-Alto Adige,Da 100.001 a 500.000,2,1,3,1,0,2,1,1,4,0,4,1,4,1,Impiegato,Laurea/post laurea,205,0,19,6,Typeform,better,not gibberish
Una femmina,66,Abruzzo,Da 10.001 a 30.000,12,1,1,0,1,4,1,0,8,0,3,1,3,1,Casalinga,,165,10,31,5,Typeform,better,not gibberish
Una femmina,42,Campania,Oltre 500.001,6,1,3,3,1,5,2,1,5,1,6,1,7,1,Impiegato,Laurea/post laurea,215,10,32,11,Typeform,worst,gibberish
Una femmina,46,Lombardia,Da 10.001 a 30.000,4,1,10,2,1,6,1,1,6,2,4,1,4,1,Impiegato,Laurea/post laurea,247,10,34,10,Typeform,worst,gibberish
