SEX,AGE,REGION,CITY_SIZE,EDU_LV,JOB,N_W_Q1,# T_Q1,N_W_Q2,#T_Q2,#T_TRUSTED,N_W_Q3,#T_Q3,#T_UNTRUSTED,N_W_Q4,#T_Q4,N_W_Q5,#T_Q5,N_W_Q6,#T_Q6,COMPL_TIME_SEC,User_Experience_Rating,Total_Words_per_Respondent,Total_Themes_per_Respondent,Transcripts Comparison Result,Transcript Classification Result,Completion Mode
Un maschio,27,Puglia,Da 30.001 a 100.000,Scuole superiori/Diploma,Non occupato/in cerca di occupazione,14,2,8,1,1,14,2,0,1,0,3,1,3,1,384,6,43,8,worst,not gibberish,Traditional Survey
Un maschio,29,Calabria,Da 30.001 a 100.000,Laurea/post laurea,Impiegato,5,1,3,1,1,4,1,0,5,1,4,1,5,1,234,9,28,7,worst,gibberish,Traditional Survey
Un maschio,30,Lazio,Da 30.001 a 100.000,Laurea/post laurea,Impiegato,1,1,7,1,1,5,1,1,2,1,5,1,4,1,132,9,24,8,better,not gibberish,Traditional Survey
Un maschio,56,Lombardia,Oltre 500.001,Scuole superiori/Diploma,Imprenditore/libero professionista,3,1,3,1,0,3,1,1,6,1,4,1,10,1,193,6,29,7,worst,gibberish,Traditional Survey
Un maschio,38,Liguria,Oltre 500.001,Scuole superiori/Diploma,Operaio,1,1,2,1,1,3,1,1,3,0,7,1,6,1,182,9,22,7,worst,not gibberish,Traditional Survey
Un maschio,51,Piemonte,Oltre 500.001,,Imprenditore/libero professionista,4,1,5,1,0,4,0,0,6,1,9,2,5,1,301,8,33,6,worst,not gibberish,Traditional Survey
Una femmina,23,Molise,Fino a 10.000,Scuole superiori/Diploma,Non occupato/in cerca di occupazione,12,3,10,2,,3,0,0,3,0,7,1,7,1,177,0,42,7,worst,gibberish,Traditional Survey
Una femmina,20,Piemonte,Fino a 10.000,Scuole superiori/Diploma,Artigiano/commerciante,4,1,7,1,1,4,1,1,7,1,5,1,5,1,189,10,32,8,worst,gibberish,Traditional Survey
Una femmina,40,Sicilia,Da 10.001 a 30.000,Scuole superiori/Diploma,Casalinga,1,1,1,0,0,1,1,0,2,1,2,0,2,0,235,6,9,3,worst,not gibberish,Traditional Survey
Un maschio,60,Campania,Oltre 500.001,Scuole superiori/Diploma,Pensionato,6,1,8,1,1,11,2,0,7,1,13,2,7,0,426,9,52,8,worst,not gibberish,Traditional Survey
Una femmina,35,Lombardia,Da 30.001 a 100.000,Scuole superiori/Diploma,Impiegato,5,1,7,2,1,8,2,1,6,1,7,0,9,2,125,10,42,10,worst,gibberish,Traditional Survey
Un maschio,25,Sicilia,Fino a 10.000,Laurea/post laurea,Impiegato,1,1,3,1,1,2,1,1,3,1,2,1,3,1,836,9,14,8,worst,not gibberish,Traditional Survey
Una femmina,50,Puglia,Da 30.001 a 100.000,Laurea/post laurea,Impiegato,15,3,11,1,1,5,1,0,7,0,8,1,7,1,215,5,53,8,worst,not gibberish,Traditional Survey
Un maschio,47,Veneto,Da 30.001 a 100.000,Laurea/post laurea,Dirigente/Quadro,3,1,6,1,1,4,1,0,3,0,3,1,2,1,170,10,21,6,worst,not gibberish,Traditional Survey
Una femmina,18,Lazio,Fino a 10.000,Scuole medie,Impiegato,13,2,5,1,,2,0,0,1,0,5,1,2,1,107,10,28,5,worst,gibberish,Traditional Survey
Un maschio,54,Lombardia,Da 10.001 a 30.000,Scuole superiori/Diploma,Imprenditore/libero professionista,6,1,4,1,1,4,2,0,3,0,4,2,2,1,174,10,23,8,worst,gibberish,Traditional Survey
Un maschio,60,Liguria,Da 10.001 a 30.000,,Pensionato,6,2,1,0,1,4,1,1,2,1,1,0,4,1,218,4,18,7,better,not gibberish,Traditional Survey
Un maschio,56,Lombardia,Oltre 500.001,Scuole superiori/Diploma,Imprenditore/libero professionista,3,1,3,1,0,3,1,1,6,1,4,1,10,1,193,6,29,7,better,gibberish,Traditional Survey
Un maschio,49,Lazio,Fino a 10.000,Scuole superiori/Diploma,Impiegato,7,2,9,2,1,12,2,1,11,2,16,2,8,1,276,10,63,13,worst,gibberish,Traditional Survey
Una femmina,54,Lazio,Oltre 500.001,Scuole superiori/Diploma,Casalinga,6,1,10,2,1,5,2,0,2,0,6,1,6,1,226,7,35,8,worst,not gibberish,Traditional Survey
Un maschio,54,Lombardia,Da 10.001 a 30.000,Scuole superiori/Diploma,Imprenditore/libero professionista,6,1,4,1,1,4,2,0,3,0,4,2,2,1,174,10,23,8,better,gibberish,Traditional Survey
Un maschio,29,Campania,Da 30.001 a 100.000,Scuole superiori/Diploma,Impiegato,3,1,1,0,1,3,1,1,1,1,4,0,1,1,112,9,13,6,worst,not gibberish,Traditional Survey
Una femmina,44,Toscana,Oltre 500.001,Laurea/post laurea,Impiegato,8,1,10,1,1,7,1,0,2,0,12,2,5,1,208,7,44,7,worst,gibberish,Traditional Survey
Una femmina,35,Lombardia,Da 30.001 a 100.000,Scuole superiori/Diploma,Impiegato,5,1,7,2,1,8,2,1,6,1,7,0,9,2,125,10,42,10,worst,gibberish,Traditional Survey
Un maschio,57,Piemonte,Da 10.001 a 30.000,Scuole superiori/Diploma,Impiegato,6,2,5,1,1,8,2,1,4,1,13,1,2,1,651,9,38,10,worst,not gibberish,Traditional Survey
Una femmina,40,Sicilia,Da 10.001 a 30.000,Scuole superiori/Diploma,Casalinga,1,1,1,0,0,1,1,0,2,1,2,0,2,0,235,6,9,3,worst,gibberish,Traditional Survey
Un maschio,42,Emilia-Romagna,Da 100.001 a 500.000,,Non occupato/in cerca di occupazione,17,3,22,3,0,12,3,1,9,1,4,1,9,1,377,6,73,13,worst,gibberish,Traditional Survey
Un maschio,63,Puglia,Fino a 10.000,Scuole medie,Pensionato,11,1,1,0,0,5,1,0,4,0,5,1,5,1,160,10,31,4,worst,gibberish,Traditional Survey
Una femmina,24,Lazio,Da 30.001 a 100.000,Laurea/post laurea,Impiegato,8,1,5,0,1,5,1,1,3,0,3,1,2,1,157,9,26,6,worst,gibberish,Traditional Survey
Un maschio,32,Lazio,Oltre 500.001,Scuole medie,Studente,1,0,1,0,0,1,0,0,1,0,1,0,1,0,63,10,6,0,worst,gibberish,Traditional Survey
Un maschio,69,Puglia,Da 100.001 a 500.000,Laurea/post laurea,Pensionato,9,3,5,1,0,7,0,0,1,0,4,1,6,1,375,2,32,6,better,gibberish,Traditional Survey
Un maschio,19,Sicilia,Da 100.001 a 500.000,Scuole superiori/Diploma,Studente,6,1,1,0,1,5,1,1,4,1,5,1,6,1,177,7,27,7,worst,not gibberish,Traditional Survey
Un maschio,63,Puglia,Fino a 10.000,Scuole medie,Pensionato,11,1,1,0,0,5,1,0,4,0,5,1,5,1,160,10,31,4,better,gibberish,Traditional Survey
Un maschio,77,Lombardia,Fino a 10.000,Laurea/post laurea,Pensionato,10,2,9,2,0,6,0,0,7,1,5,1,1,0,543,2,38,6,worst,gibberish,Traditional Survey
Un maschio,65,Toscana,Da 30.001 a 100.000,Scuole superiori/Diploma,Pensionato,3,1,1,1,1,1,1,1,1,1,3,1,1,1,134,0,10,8,better,gibberish,Traditional Survey
Un maschio,41,Liguria,Da 30.001 a 100.000,Laurea/post laurea,Impiegato,2,0,1,1,1,1,1,1,1,1,1,0,1,0,84,9,7,5,worst,not gibberish,Traditional Survey
Un maschio,51,Piemonte,Oltre 500.001,,Imprenditore/libero professionista,4,1,5,1,0,4,0,0,6,1,9,2,5,1,301,8,33,6,worst,gibberish,Traditional Survey
Un maschio,60,Campania,Oltre 500.001,Scuole superiori/Diploma,Pensionato,6,1,8,1,1,11,2,0,7,1,13,2,7,0,426,9,52,8,worst,gibberish,Traditional Survey
Una femmina,34,Sicilia,Da 10.001 a 30.000,Laurea/post laurea,Dirigente/Quadro,15,2,5,1,1,7,1,1,6,1,5,1,4,1,197,10,42,9,worst,gibberish,Traditional Survey
Un maschio,77,Lombardia,Fino a 10.000,Laurea/post laurea,Pensionato,10,2,9,2,0,6,0,0,7,1,5,1,1,0,543,2,38,6,better,gibberish,Traditional Survey
Una femmina,46,Lombardia,Da 10.001 a 30.000,Laurea/post laurea,Impiegato,4,1,10,2,1,6,1,1,6,2,4,1,4,1,247,10,34,10,worst,not gibberish,Traditional Survey
Una femmina,54,Piemonte,Da 30.001 a 100.000,Laurea/post laurea,Impiegato,10,1,2,1,1,2,1,1,2,1,3,1,3,1,141,5,22,8,worst,gibberish,Traditional Survey
Un maschio,60,Sicilia,Oltre 500.001,Scuole superiori/Diploma,Impiegato,5,1,5,1,0,6,0,0,3,0,7,1,8,1,300,8,34,4,better,gibberish,Traditional Survey
Un maschio,41,Trentino-Alto Adige,Fino a 10.000,Scuole superiori/Diploma,Operaio,3,2,2,1,1,3,1,1,3,1,4,2,2,0,159,10,17,9,better,gibberish,Traditional Survey
Un maschio,27,Puglia,Da 30.001 a 100.000,Scuole superiori/Diploma,Non occupato/in cerca di occupazione,14,2,8,1,1,14,2,0,1,0,3,1,3,1,384,6,43,8,worst,not gibberish,Traditional Survey
Una femmina,77,Trentino-Alto Adige,Da 30.001 a 100.000,Laurea/post laurea,Pensionato,3,2,3,2,1,7,2,0,6,0,7,1,11,1,205,8,37,9,better,gibberish,Traditional Survey
Un maschio,42,Emilia-Romagna,Da 100.001 a 500.000,,Non occupato/in cerca di occupazione,17,3,22,3,0,12,3,1,9,1,4,1,9,1,377,6,73,13,worst,gibberish,Traditional Survey
Un maschio,29,Calabria,Da 30.001 a 100.000,Laurea/post laurea,Impiegato,5,1,3,1,1,4,1,0,5,1,4,1,5,1,234,9,28,7,better,not gibberish,Traditional Survey
Una femmina,34,Lombardia,Fino a 10.000,Laurea/post laurea,Imprenditore/libero professionista,3,1,1,1,1,1,1,0,1,0,1,1,1,1,169,6,8,6,better,not gibberish,Traditional Survey
Una femmina,45,Emilia-Romagna,Da 100.001 a 500.000,Scuole superiori/Diploma,Impiegato,5,1,3,1,0,5,1,1,5,1,6,1,6,1,1362,7,30,7,worst,not gibberish,Traditional Survey
Una femmina,36,Lazio,Oltre 500.001,Laurea/post laurea,Impiegato,4,1,1,0,1,5,1,1,5,0,4,1,2,1,132,8,21,6,better,gibberish,Traditional Survey
Una femmina,23,Molise,Fino a 10.000,Scuole superiori/Diploma,Non occupato/in cerca di occupazione,12,3,10,2,,3,0,0,3,0,7,1,7,1,177,0,42,7,worst,gibberish,Traditional Survey
Un maschio,54,Lazio,Oltre 500.001,Scuole superiori/Diploma,Operaio,1,1,1,0,1,3,1,1,1,1,2,0,2,1,171,9,10,6,better,gibberish,Traditional Survey
Un maschio,50,Trentino-Alto Adige,Da 100.001 a 500.000,Laurea/post laurea,Impiegato,2,1,3,1,0,2,1,1,4,0,4,1,4,1,205,0,19,6,better,not gibberish,Traditional Survey
Una femmina,66,Abruzzo,Da 10.001 a 30.000,,Casalinga,12,1,1,0,1,4,1,0,8,0,3,1,3,1,165,10,31,5,better,not gibberish,Traditional Survey
Una femmina,42,Campania,Oltre 500.001,Laurea/post laurea,Impiegato,6,1,3,3,1,5,2,1,5,1,6,1,7,1,215,10,32,11,worst,gibberish,Traditional Survey
Una femmina,46,Lombardia,Da 10.001 a 30.000,Laurea/post laurea,Impiegato,4,1,10,2,1,6,1,1,6,2,4,1,4,1,247,10,34,10,worst,gibberish,Traditional Survey
